RespondentID,Age,Gender,EducationLevel,Income,Region,Stratum,Cluster
1147,29,Male,Master,70700,West,Postgraduate,Cluster 3
1148,38,Female,Associate,46200,South,Some College,Cluster 4
1149,33,Male,Bachelor,53200,North,College Graduate,Cluster 1
1150,49,Female,High School,42200,East,High School,Cluster 2
1151,31,Male,Master,69700,West,Postgraduate,Cluster 3
1152,55,Female,Associate,47200,South,Some College,Cluster 4
1153,36,Male,Bachelor,56200,North,College Graduate,Cluster 1
1154,42,Female,High School,40200,East,High School,Cluster 2
1155,27,Male,Master,72700,West,Postgraduate,Cluster 3
1156,39,Female,Associate,46700,South,Some College,Cluster 4
1157,34,Male,Bachelor,54200,North,College Graduate,Cluster 1
1158,47,Female,High School,43200,East,High School,Cluster 2
1159,30,Male,Master,68200,West,Postgraduate,Cluster 3
1160,53,Female,Associate,49200,South,Some College,Cluster 4
1161,40,Male,Bachelor,57200,North,College Graduate,Cluster 1
1162,44,Female,High School,41700,East,High School,Cluster 2
1163,26,Male,Master,73700,West,Postgraduate,Cluster 3
1164,38,Female,Associate,45700,South,Some College,Cluster 4
1165,32,Male,Bachelor,52700,North,College Graduate,Cluster 1
1166,50,Female,High School,40700,East,High School,Cluster 2
1167,29,Male,Master,70200,West,Postgraduate,Cluster 3
1168,55,Female,Associate,47700,South,Some College,Cluster 4
1169,36,Male,Bachelor,56200,North,College Graduate,Cluster 1
1170,42,Female,High School,39700,East,High School,Cluster 2
1171,27,Male,Master,72400,West,Postgraduate,Cluster 3
1172,39,Female,Associate,46700,South,Some College,Cluster 4
1173,34,Male,Bachelor,53700,North,College Graduate,Cluster 1
1174,46,Female,High School,42700,East,High School,Cluster 2
1175,31,Male,Master,69200,West,Postgraduate,Cluster 3
1176,52,Female,Associate,48700,South,Some College,Cluster 4
1177,37,Male,Bachelor,55700,North,College Graduate,Cluster 1
1178,41,Female,High School,41200,East,High School,Cluster 2
1179,28,Male,Master,71700,West,Postgraduate,Cluster 3
1180,54,Female,Associate,49700,South,Some College,Cluster 4
1181,39,Male,Bachelor,56700,North,College Graduate,Cluster 1
1182,43,Female,High School,40700,East,High School,Cluster 2
1183,30,Male,Master,68700,West,Postgraduate,Cluster 3
1184,53,Female,Associate,48200,South,Some College,Cluster 4
1185,35,Male,Bachelor,54700,North,College Graduate,Cluster 1
1186,48,Female,High School,43700,East,High School,Cluster 2
1187,29,Male,Master,70700,West,Postgraduate,Cluster 3
1188,38,Female,Associate,46200,South,Some College,Cluster 4
1189,33,Male,Bachelor,53200,North,College Graduate,Cluster 1
1190,49,Female,High School,42200,East,High School,Cluster 2
1191,31,Male,Master,69700,West,Postgraduate,Cluster 3
1192,55,Female,Associate,47200,South,Some College,Cluster 4
1193,36,Male,Bachelor,56200,North,College Graduate,Cluster 1
1194,42,Female,High School,40200,East,High School,Cluster 2
1195,27,Male,Master,72700,West,Postgraduate,Cluster 3
1196,39,Female,Associate,46700,South,Some College,Cluster 4
1197,34,Male,Bachelor,54200,North,College Graduate,Cluster 1
1198,47,Female,High School,43200,East,High School,Cluster 2
1199,30,Male,Master,68200,West,Postgraduate,Cluster 3
1200,53,Female,Associate,49200,South,Some College,Cluster 4
