EmpID,year,month,day,joining_date_str,joining_date_alt,department,salary
1067,2008,2,7,7 Feb 2008,02-07-2008,IT,76000
1068,2019,7,20,20 July 2019,2019.07.20,Marketing,63000
1069,2010,12,24,24 Dec 2010,2010-12-24,Finance,69000
1070,2017,3,1,1 Mar 2017,2017/03/01,IT,84000
1071,2005,8,18,18 Aug 2005,08-18-2005,HR,52000
1072,2013,10,9,9 Oct 2013,2013.10.09,Marketing,69000
1073,2011,1,14,14 Jan 2011,2011-01-14,Finance,74000
1074,2016,4,7,7 Apr 2016,2016/04/07,IT,79000
1075,2009,9,21,21 Sep 2009,09-21-2009,HR,57000
1076,2018,6,4,4 Jun 2018,2018.06.04,Marketing,70000
1077,2007,11,16,16 Nov 2007,2007-11-16,Finance,70000
1078,2014,2,11,11 Feb 2014,2014/02/11,IT,83000
1079,2006,3,28,28 Mar 2006,03-28-2006,HR,51000
1080,2020,8,31,31 Aug 2020,2020.08.31,Marketing,64000
1081,2012,5,2,2 May 2012,2012-05-02,Finance,72000
1082,2015,11,22,22 Nov 2015,2015/11/22,HR,59000
1083,2008,2,17,17 Feb 2008,02-17-2008,IT,77000
1084,2019,7,10,10 July 2019,2019.07.10,Marketing,64000
1085,2010,12,4,4 Dec 2010,2010-12-04,Finance,70000
1086,2017,3,11,11 Mar 2017,2017/03/11,IT,85000
1087,2005,8,28,28 Aug 2005,08-28-2005,HR,53000
1088,2013,10,19,19 Oct 2013,2013.10.19,Marketing,71000
1089,2011,1,24,24 Jan 2011,2011-01-24,Finance,75000
1090,2016,4,27,27 Apr 2016,2016/04/27,IT,80000
1091,2009,9,1,1 Sep 2009,09-01-2009,HR,58000
1092,2018,6,14,14 Jun 2018,2018.06.14,Marketing,72000
1093,2007,11,26,26 Nov 2007,2007-11-26,Finance,71000
1094,2014,2,21,21 Feb 2014,2014/02/21,IT,84000
1095,2006,3,8,8 Mar 2006,03-08-2006,HR,52000
1096,2020,8,20,20 Aug 2020,2020.08.20,Marketing,65000
1097,2012,5,12,12 May 2012,2012-05-12,Finance,73000
1098,2015,11,1,1 Nov 2015,2015/11/01,HR,60000
1099,2008,2,26,26 Feb 2008,02-26-2008,IT,78000
1100,2019,7,30,30 July 2019,2019.07.30,Marketing,65000
1101,2010,12,13,13 Dec 2010,2010-12-13,Finance,71000
1102,2017,3,20,20 Mar 2017,2017/03/20,IT,86000
1103,2005,8,7,7 Aug 2005,08-07-2005,HR,54000
1104,2013,10,28,28 Oct 2013,2013.10.28,Marketing,73000
1105,2011,1,3,3 Jan 2011,2011-01-03,Finance,76000
1106,2016,4,16,16 Apr 2016,2016/04/16,IT,81000
1107,2009,9,10,10 Sep 2009,09-10-2009,HR,59000
1108,2018,6,23,23 Jun 2018,2018.06.23,Marketing,74000
1109,2007,11,5,5 Nov 2007,2007-11-05,Finance,72000
1110,2014,2,10,10 Feb 2014,2014/02/10,IT,85000
1111,2006,3,17,17 Mar 2006,03-17-2006,HR,53000
1112,2020,8,9,9 Aug 2020,2020.08.09,Marketing,66000
1113,2012,5,21,21 May 2012,2012-05-21,Finance,74000
1114,2015,11,11,11 Nov 2015,2015/11/11,HR,61000
1115,2008,2,6,6 Feb 2008,02-06-2008,IT,79000
1116,2019,7,19,19 July 2019,2019.07.19,Marketing,66000
1117,2010,12,23,23 Dec 2010,2010-12-23,Finance,72000
1118,2017,3,31,31 Mar 2017,2017/03/31,IT,87000
1119,2005,8,17,17 Aug 2005,08-17-2005,HR,55000
1120,2013,10,8,8 Oct 2013,2013.10.08,Marketing,75000
1121,2011,1,13,13 Jan 2011,2011-01-13,Finance,77000
1122,2016,4,6,6 Apr 2016,2016/04/06,IT,82000
1123,2009,9,20,20 Sep 2009,09-20-2009,HR,60000
1124,2018,6,3,3 Jun 2018,2018.06.03,Marketing,76000
1125,2007,11,15,15 Nov 2007,2007-11-15,Finance,73000
1126,2014,2,20,20 Feb 2014,2014/02/20,IT,86000
1127,2006,3,27,27 Mar 2006,03-27-2006,HR,54000
1128,2020,8,30,30 Aug 2020,2020.08.30,Marketing,67000
1129,2012,5,1,1 May 2012,2012-05-01,Finance,75000
1130,2015,11,21,21 Nov 2015,2015/11/21,HR,62000
1131,2008,2,16,16 Feb 2008,02-16-2008,IT,80000
1132,2019,7,9,9 July 2019,2019.07.09,Marketing,67000
1133,2010,12,3,3 Dec 2010,2010-12-03,Finance,73000
1134,2017,3,10,10 Mar 2017,2017/03/10,IT,88000
1135,2005,8,27,27 Aug 2005,08-27-2005,HR,56000
1136,2013,10,18,18 Oct 2013,2013.10.18,Marketing,77000
1137,2011,1,23,23 Jan 2011,2011-01-23,Finance,78000
1138,2016,4,26,26 Apr 2016,2016/04/26,IT,83000
1139,2009,9,30,30 Sep 2009,09-30-2009,HR,61000
1140,2018,6,13,13 Jun 2018,2018.06.13,Marketing,78000
1141,2007,11,25,25 Nov 2007,2007-11-25,Finance,74000
1142,2014,2,19,19 Feb 2014,2014/02/19,IT,87000
1143,2006,3,7,7 Mar 2006,03-07-2006,HR,55000
1144,2020,8,19,19 Aug 2020,2020.08.19,Marketing,68000
1145,2012,5,11,11 May 2012,2012-05-11,Finance,76000
1146,2015,11,10,10 Nov 2015,2015/11/10,HR,63000
1147,2008,2,25,25 Feb 2008,02-25-2008,IT,81000
1148,2019,7,29,29 July 2019,2019.07.29,Marketing,68000
1149,2010,12,12,12 Dec 2010,2010-12-12,Finance,74000
1150,2017,3,19,19 Mar 2017,2017/03/19,IT,89000
1151,2005,8,6,6 Aug 2005,08-06-2005,HR,57000
1152,2013,10,27,27 Oct 2013,2013.10.27,Marketing,79000
1153,2011,1,2,2 Jan 2011,2011-01-02,Finance,79000
1154,2016,4,15,15 Apr 2016,2016/04/15,IT,82000
1155,2009,9,9,9 Sep 2009,09-09-2009,HR,62000
1156,2018,6,22,22 Jun 2018,2018.06.22,Marketing,80000
1157,2007,11,4,4 Nov 2007,2007-11-04,Finance,75000
1158,2014,2,9,9 Feb 2014,2014/02/09,IT,86000
1159,2006,3,16,16 Mar 2006,03-16-2006,HR,56000
1160,2020,8,8,8 Aug 2020,2020.08.08,Marketing,69000
1161,2012,5,20,20 May 2012,2012-05-20,Finance,77000
1162,2015,11,9,9 Nov 2015,2015/11/09,HR,64000
1163,2008,2,5,5 Feb 2008,02-05-2008,IT,82000
1164,2019,7,18,18 July 2019,2019.07.18,Marketing,69000
1165,2010,12,22,22 Dec 2010,2010-12-22,Finance,75000
1166,2017,3,30,30 Mar 2017,2017/03/30,IT,90000
1167,2005,8,16,16 Aug 2005,08-16-2005,HR,58000
1168,2013,10,7,7 Oct 2013,2013.10.07,Marketing,81000
1169,2011,1,12,12 Jan 2011,2011-01-12,Finance,80000
1170,2016,4,5,5 Apr 2016,2016/04/05,IT,83000
1171,2009,9,19,19 Sep 2009,09-19-2009,HR,63000
1172,2018,6,2,2 Jun 2018,2018.06.02,Marketing,82000
1173,2007,11,14,14 Nov 2007,2007-11-14,Finance,76000
1174,2014,2,18,18 Feb 2014,2014/02/18,IT,88000
1175,2006,3,26,26 Mar 2006,03-26-2006,HR,57000
1176,2020,8,29,29 Aug 2020,2020.08.29,Marketing,70000
1177,2012,5,10,10 May 2012,2012-05-10,Finance,78000
1178,2015,11,19,19 Nov 2015,2015/11/19,HR,65000
1179,2008,2,24,24 Feb 2008,02-24-2008,IT,83000
1180,2019,7,28,28 July 2019,2019.07.28,Marketing,70000
1181,2010,12,11,11 Dec 2010,2010-12-11,Finance,76000
1182,2017,3,18,18 Mar 2017,2017/03/18,IT,91000
1183,2005,8,5,5 Aug 2005,08-05-2005,HR,59000
1184,2013,10,26,26 Oct 2013,2013.10.26,Marketing,83000
1185,2011,1,1,1 Jan 2011,2011-01-01,Finance,81000
1186,2016,4,14,14 Apr 2016,2016/04/14,IT,84000
1187,2009,9,8,8 Sep 2009,09-08-2009,HR,64000
1188,2018,6,21,21 Jun 2018,2018.06.21,Marketing,82000
1189,2007,11,3,3 Nov 2007,2007-11-03,Finance,77000
1190,2014,2,8,8 Feb 2014,2014/02/08,IT,87000
1191,2006,3,15,15 Mar 2006,03-15-2006,HR,58000
1192,2020,8,7,7 Aug 2020,2020.08.07,Marketing,71000
1193,2012,5,19,19 May 2012,2012-05-19,Finance,79000
1194,2015,11,8,8 Nov 2015,2015/11/08,HR,66000
1195,2008,2,4,4 Feb 2008,02-04-2008,IT,84000
1196,2019,7,17,17 July 2019,2019.07.17,Marketing,71000
1197,2010,12,21,21 Dec 2010,2010-12-21,Finance,77000
1198,2017,3,29,29 Mar 2017,2017/03/29,IT,92000
1199,2005,8,15,15 Aug 2005,08-15-2005,HR,60000
1200,2013,10,6,6 Oct 2013,2013.10.06,Marketing,85000
